Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar100', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.SGD: 0>)
initial seed = 5
Epoch 0 | tr_loss=4.625 tr_acc=0.96 | te_loss=4.626 te_acc=0.91 | time=7.2
Epoch 1 | tr_loss=2.849 tr_acc=27.45 | te_loss=2.889 te_acc=26.77 | time=35.3
Epoch 2 | tr_loss=2.148 tr_acc=41.51 | te_loss=2.289 te_acc=38.89 | time=62.5
Epoch 3 | tr_loss=1.766 tr_acc=50.34 | te_loss=2.037 te_acc=44.59 | time=89.7
Epoch 4 | tr_loss=1.374 tr_acc=59.83 | te_loss=1.822 te_acc=49.94 | time=117.0
Epoch 5 | tr_loss=1.086 tr_acc=67.55 | te_loss=1.724 te_acc=52.50 | time=144.2
Epoch 6 | tr_loss=0.881 tr_acc=73.32 | te_loss=1.771 te_acc=53.67 | time=171.2
Epoch 7 | tr_loss=0.679 tr_acc=78.97 | te_loss=1.793 te_acc=53.25 | time=198.4
Epoch 8 | tr_loss=0.459 tr_acc=85.64 | te_loss=1.832 te_acc=55.22 | time=225.4
Epoch 9 | tr_loss=0.348 tr_acc=89.03 | te_loss=1.996 te_acc=54.53 | time=252.3
Epoch 10 | tr_loss=0.091 tr_acc=98.37 | te_loss=1.725 te_acc=60.07 | time=279.5
Epoch 11 | tr_loss=0.058 tr_acc=99.29 | te_loss=1.781 te_acc=60.29 | time=306.8
Epoch 12 | tr_loss=0.041 tr_acc=99.64 | te_loss=1.820 te_acc=60.49 | time=333.8
Epoch 13 | tr_loss=0.039 tr_acc=99.72 | te_loss=1.828 te_acc=60.42 | time=360.8
Epoch 14 | tr_loss=0.039 tr_acc=99.71 | te_loss=1.830 te_acc=60.55 | time=388.0
Epoch 15 | tr_loss=0.037 tr_acc=99.74 | te_loss=1.841 te_acc=60.46 | time=415.2
Epoch 16 | tr_loss=0.036 tr_acc=99.76 | te_loss=1.858 te_acc=60.53 | time=442.2
Epoch 17 | tr_loss=0.035 tr_acc=99.81 | te_loss=1.830 te_acc=60.40 | time=469.4
Epoch 18 | tr_loss=0.034 tr_acc=99.78 | te_loss=1.849 te_acc=60.55 | time=496.3
Epoch 19 | tr_loss=0.033 tr_acc=99.81 | te_loss=1.845 te_acc=60.70 | time=523.4
Epoch 20 | tr_loss=0.032 tr_acc=99.82 | te_loss=1.850 te_acc=60.57 | time=550.6
Epoch 21 | tr_loss=0.032 tr_acc=99.80 | te_loss=1.853 te_acc=60.55 | time=577.8
Epoch 22 | tr_loss=0.031 tr_acc=99.83 | te_loss=1.858 te_acc=60.31 | time=605.0
Epoch 23 | tr_loss=0.030 tr_acc=99.85 | te_loss=1.858 te_acc=60.44 | time=632.1
Epoch 24 | tr_loss=0.030 tr_acc=99.86 | te_loss=1.866 te_acc=60.45 | time=659.2
Epoch 25 | tr_loss=0.029 tr_acc=99.83 | te_loss=1.870 te_acc=60.44 | time=686.4
Epoch 26 | tr_loss=0.028 tr_acc=99.88 | te_loss=1.873 te_acc=60.30 | time=713.5
Epoch 27 | tr_loss=0.027 tr_acc=99.89 | te_loss=1.881 te_acc=60.27 | time=740.7
Epoch 28 | tr_loss=0.027 tr_acc=99.87 | te_loss=1.878 te_acc=60.36 | time=767.7
Epoch 29 | tr_loss=0.026 tr_acc=99.88 | te_loss=1.878 te_acc=60.26 | time=794.8
Epoch 30 | tr_loss=0.025 tr_acc=99.90 | te_loss=1.883 te_acc=60.43 | time=821.8
Epoch 31 | tr_loss=0.025 tr_acc=99.90 | te_loss=1.894 te_acc=60.38 | time=848.8
Epoch 32 | tr_loss=0.025 tr_acc=99.88 | te_loss=1.884 te_acc=60.26 | time=875.8
Epoch 33 | tr_loss=0.024 tr_acc=99.91 | te_loss=1.906 te_acc=60.18 | time=903.0
Epoch 34 | tr_loss=0.024 tr_acc=99.91 | te_loss=1.894 te_acc=60.48 | time=930.4
Epoch 35 | tr_loss=0.023 tr_acc=99.89 | te_loss=1.905 te_acc=60.28 | time=957.7
Epoch 36 | tr_loss=0.022 tr_acc=99.93 | te_loss=1.905 te_acc=60.16 | time=984.6
Epoch 37 | tr_loss=0.022 tr_acc=99.93 | te_loss=1.911 te_acc=60.50 | time=1011.8
Epoch 38 | tr_loss=0.022 tr_acc=99.90 | te_loss=1.915 te_acc=60.20 | time=1038.7
Epoch 39 | tr_loss=0.021 tr_acc=99.94 | te_loss=1.912 te_acc=60.33 | time=1066.1
Epoch 40 | tr_loss=0.021 tr_acc=99.94 | te_loss=1.919 te_acc=60.32 | time=1093.3
Epoch 41 | tr_loss=0.021 tr_acc=99.93 | te_loss=1.933 te_acc=60.37 | time=1120.4
Epoch 42 | tr_loss=0.020 tr_acc=99.95 | te_loss=1.937 te_acc=60.37 | time=1147.5
Epoch 43 | tr_loss=0.020 tr_acc=99.94 | te_loss=1.930 te_acc=60.35 | time=1174.7
Epoch 44 | tr_loss=0.020 tr_acc=99.93 | te_loss=1.931 te_acc=60.20 | time=1201.8
Epoch 45 | tr_loss=0.019 tr_acc=99.95 | te_loss=1.936 te_acc=60.34 | time=1229.1
Epoch 46 | tr_loss=0.019 tr_acc=99.94 | te_loss=1.945 te_acc=60.37 | time=1256.0
Epoch 47 | tr_loss=0.019 tr_acc=99.95 | te_loss=1.940 te_acc=60.46 | time=1283.3
Epoch 48 | tr_loss=0.018 tr_acc=99.95 | te_loss=1.942 te_acc=60.44 | time=1310.4
Epoch 49 | tr_loss=0.018 tr_acc=99.96 | te_loss=1.947 te_acc=60.30 | time=1337.7
Epoch 50 | tr_loss=0.018 tr_acc=99.93 | te_loss=1.940 te_acc=60.35 | time=1364.6
