Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar100', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.FOCAL: 5>)
initial seed = 5
Epoch 0 | tr_loss=4.625 tr_acc=0.96 | te_loss=4.626 te_acc=0.91 | time=15.5
Epoch 1 | tr_loss=3.506 tr_acc=16.55 | te_loss=3.513 te_acc=16.71 | time=45.1
Epoch 2 | tr_loss=3.207 tr_acc=24.79 | te_loss=3.225 te_acc=24.80 | time=72.2
Epoch 3 | tr_loss=3.033 tr_acc=27.78 | te_loss=3.082 te_acc=26.74 | time=99.3
Epoch 4 | tr_loss=2.753 tr_acc=33.25 | te_loss=2.841 te_acc=31.68 | time=126.7
Epoch 5 | tr_loss=2.536 tr_acc=36.97 | te_loss=2.635 te_acc=35.01 | time=153.8
Epoch 6 | tr_loss=2.443 tr_acc=38.36 | te_loss=2.578 te_acc=34.49 | time=180.9
Epoch 7 | tr_loss=2.216 tr_acc=44.20 | te_loss=2.438 te_acc=38.30 | time=208.2
Epoch 8 | tr_loss=2.115 tr_acc=46.92 | te_loss=2.367 te_acc=39.74 | time=235.7
Epoch 9 | tr_loss=1.975 tr_acc=49.27 | te_loss=2.311 te_acc=38.91 | time=262.9
Epoch 10 | tr_loss=1.361 tr_acc=65.88 | te_loss=1.888 te_acc=47.81 | time=289.9
Epoch 11 | tr_loss=1.169 tr_acc=70.11 | te_loss=1.832 te_acc=48.74 | time=317.4
Epoch 12 | tr_loss=1.061 tr_acc=73.66 | te_loss=1.815 te_acc=49.01 | time=344.9
Epoch 13 | tr_loss=0.950 tr_acc=77.43 | te_loss=1.802 te_acc=49.32 | time=372.1
Epoch 14 | tr_loss=0.878 tr_acc=80.01 | te_loss=1.792 te_acc=49.80 | time=399.2
Epoch 15 | tr_loss=0.827 tr_acc=82.17 | te_loss=1.788 te_acc=50.43 | time=426.7
Epoch 16 | tr_loss=0.828 tr_acc=81.75 | te_loss=1.801 te_acc=49.70 | time=454.1
Epoch 17 | tr_loss=0.780 tr_acc=84.10 | te_loss=1.788 te_acc=50.05 | time=481.7
Epoch 18 | tr_loss=0.727 tr_acc=85.39 | te_loss=1.779 te_acc=50.23 | time=508.8
Epoch 19 | tr_loss=0.733 tr_acc=84.73 | te_loss=1.801 te_acc=49.70 | time=536.2
Epoch 20 | tr_loss=0.721 tr_acc=85.71 | te_loss=1.790 te_acc=50.20 | time=563.5
Epoch 21 | tr_loss=0.699 tr_acc=86.91 | te_loss=1.783 te_acc=50.15 | time=590.8
Epoch 22 | tr_loss=0.712 tr_acc=85.98 | te_loss=1.807 te_acc=49.99 | time=618.0
Epoch 23 | tr_loss=0.677 tr_acc=88.00 | te_loss=1.796 te_acc=51.35 | time=645.3
Epoch 24 | tr_loss=0.649 tr_acc=89.12 | te_loss=1.760 te_acc=51.59 | time=672.5
