Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar10', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.ORDERED: 1>)
initial seed = 5
Epoch 0 | q=64 | tr_loss=2.315 tr_acc=9.02 | te_loss=2.315 te_acc=8.85 | time=7.3
Epoch 1 | q=64 | tr_loss=0.900 tr_acc=68.27 | te_loss=0.930 te_acc=67.07 | time=34.8
Epoch 2 | q=64 | tr_loss=0.569 tr_acc=80.34 | te_loss=0.669 te_acc=77.08 | time=61.9
Epoch 3 | q=32 | tr_loss=0.547 tr_acc=81.34 | te_loss=0.639 te_acc=78.27 | time=91.2
Epoch 4 | q=32 | tr_loss=0.403 tr_acc=86.40 | te_loss=0.572 te_acc=81.25 | time=118.2
Epoch 5 | q=32 | tr_loss=0.338 tr_acc=88.27 | te_loss=0.587 te_acc=80.98 | time=145.5
Epoch 6 | q=32 | tr_loss=0.220 tr_acc=92.35 | te_loss=0.546 te_acc=83.72 | time=172.4
Epoch 7 | q=16 | tr_loss=0.353 tr_acc=88.60 | te_loss=0.590 te_acc=80.91 | time=199.4
Epoch 8 | q=16 | tr_loss=0.262 tr_acc=91.20 | te_loss=0.577 te_acc=82.27 | time=226.6
Epoch 9 | q=16 | tr_loss=0.155 tr_acc=95.05 | te_loss=0.500 te_acc=84.34 | time=253.8
Epoch 10 | q=8 | tr_loss=0.027 tr_acc=99.40 | te_loss=0.466 te_acc=87.03 | time=281.0
Epoch 11 | q=8 | tr_loss=0.009 tr_acc=99.82 | te_loss=0.541 te_acc=87.02 | time=308.2
Epoch 12 | q=4 | tr_loss=0.006 tr_acc=99.91 | te_loss=0.544 te_acc=87.27 | time=335.4
Epoch 13 | q=4 | tr_loss=0.005 tr_acc=99.95 | te_loss=0.560 te_acc=87.14 | time=362.9
Epoch 14 | q=4 | tr_loss=0.004 tr_acc=99.95 | te_loss=0.560 te_acc=87.18 | time=390.0
Epoch 15 | q=4 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.576 te_acc=87.40 | time=417.1
Epoch 16 | q=4 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.579 te_acc=87.23 | time=444.3
Epoch 17 | q=4 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.609 te_acc=87.17 | time=471.4
Epoch 18 | q=4 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.600 te_acc=87.33 | time=498.7
Epoch 19 | q=4 | tr_loss=0.003 tr_acc=99.99 | te_loss=0.607 te_acc=87.36 | time=525.9
Epoch 20 | q=4 | tr_loss=0.002 tr_acc=99.98 | te_loss=0.612 te_acc=87.47 | time=553.0
Epoch 21 | q=4 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.609 te_acc=87.48 | time=579.8
Epoch 22 | q=4 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.623 te_acc=87.36 | time=606.8
Epoch 23 | q=4 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.648 te_acc=87.20 | time=633.9
Epoch 24 | q=4 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.648 te_acc=87.42 | time=661.1
Epoch 25 | q=4 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.648 te_acc=87.40 | time=688.1
Epoch 26 | q=4 | tr_loss=0.001 tr_acc=99.99 | te_loss=0.651 te_acc=87.31 | time=715.4
