Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar10', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.RANKED: 6>)
initial seed = 5
Epoch 0 | tr_loss=2.315 tr_acc=9.02 | te_loss=2.315 te_acc=8.85 | time=13.2
Epoch 1 | tr_loss=1.330 tr_acc=55.24 | te_loss=1.331 te_acc=54.79 | time=46.6
Epoch 2 | tr_loss=0.955 tr_acc=66.61 | te_loss=1.005 te_acc=64.86 | time=73.7
Epoch 3 | tr_loss=0.659 tr_acc=77.28 | te_loss=0.727 te_acc=74.78 | time=100.8
Epoch 4 | tr_loss=0.484 tr_acc=84.00 | te_loss=0.612 te_acc=78.73 | time=127.9
Epoch 5 | tr_loss=0.406 tr_acc=86.71 | te_loss=0.573 te_acc=80.37 | time=155.0
Epoch 6 | tr_loss=0.322 tr_acc=88.68 | te_loss=0.567 te_acc=81.26 | time=182.4
Epoch 7 | tr_loss=0.237 tr_acc=92.20 | te_loss=0.530 te_acc=82.08 | time=209.6
Epoch 8 | tr_loss=0.189 tr_acc=93.61 | te_loss=0.541 te_acc=82.54 | time=237.0
Epoch 9 | tr_loss=0.146 tr_acc=95.03 | te_loss=0.562 te_acc=82.95 | time=264.0
Epoch 10 | tr_loss=0.027 tr_acc=99.36 | te_loss=0.479 te_acc=86.67 | time=291.5
Epoch 11 | tr_loss=0.013 tr_acc=99.81 | te_loss=0.520 te_acc=86.93 | time=318.8
Epoch 12 | tr_loss=0.012 tr_acc=99.82 | te_loss=0.522 te_acc=86.97 | time=346.1
Epoch 13 | tr_loss=0.011 tr_acc=99.86 | te_loss=0.536 te_acc=86.78 | time=373.4
Epoch 14 | tr_loss=0.010 tr_acc=99.87 | te_loss=0.532 te_acc=86.94 | time=400.6
Epoch 15 | tr_loss=0.010 tr_acc=99.88 | te_loss=0.544 te_acc=86.89 | time=427.9
Epoch 16 | tr_loss=0.009 tr_acc=99.86 | te_loss=0.542 te_acc=87.02 | time=455.2
Epoch 17 | tr_loss=0.009 tr_acc=99.90 | te_loss=0.559 te_acc=86.99 | time=482.4
Epoch 18 | tr_loss=0.009 tr_acc=99.89 | te_loss=0.553 te_acc=86.90 | time=509.5
Epoch 19 | tr_loss=0.008 tr_acc=99.92 | te_loss=0.553 te_acc=87.04 | time=536.6
Epoch 20 | tr_loss=0.008 tr_acc=99.93 | te_loss=0.559 te_acc=86.83 | time=564.0
Epoch 21 | tr_loss=0.008 tr_acc=99.91 | te_loss=0.557 te_acc=87.03 | time=591.4
Epoch 22 | tr_loss=0.007 tr_acc=99.93 | te_loss=0.563 te_acc=87.01 | time=618.7
Epoch 23 | tr_loss=0.006 tr_acc=99.94 | te_loss=0.579 te_acc=86.85 | time=646.1
Epoch 24 | tr_loss=0.006 tr_acc=99.95 | te_loss=0.581 te_acc=86.96 | time=673.1
Epoch 25 | tr_loss=0.006 tr_acc=99.94 | te_loss=0.579 te_acc=87.05 | time=700.2
Epoch 26 | tr_loss=0.006 tr_acc=99.95 | te_loss=0.578 te_acc=87.11 | time=727.4
Epoch 27 | tr_loss=0.006 tr_acc=99.94 | te_loss=0.587 te_acc=86.97 | time=754.6
Epoch 28 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.596 te_acc=86.99 | time=782.1
Epoch 29 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.594 te_acc=86.83 | time=809.5
Epoch 30 | tr_loss=0.005 tr_acc=99.95 | te_loss=0.599 te_acc=87.05 | time=836.8
Epoch 31 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.592 te_acc=86.81 | time=864.1
Epoch 32 | tr_loss=0.005 tr_acc=99.95 | te_loss=0.605 te_acc=86.95 | time=891.1
Epoch 33 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.609 te_acc=86.95 | time=918.4
Epoch 34 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.604 te_acc=87.09 | time=945.5
Epoch 35 | tr_loss=0.004 tr_acc=99.96 | te_loss=0.608 te_acc=87.01 | time=972.7
Epoch 36 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.609 te_acc=86.82 | time=999.9
Epoch 37 | tr_loss=0.004 tr_acc=99.96 | te_loss=0.619 te_acc=87.00 | time=1027.1
Epoch 38 | tr_loss=0.004 tr_acc=99.98 | te_loss=0.619 te_acc=86.95 | time=1054.2
Epoch 39 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.623 te_acc=86.95 | time=1081.5
Epoch 40 | tr_loss=0.004 tr_acc=99.98 | te_loss=0.617 te_acc=86.91 | time=1108.7
Epoch 41 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.625 te_acc=86.79 | time=1135.9
Epoch 42 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.624 te_acc=86.95 | time=1163.2
Epoch 43 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.635 te_acc=86.96 | time=1190.4
Epoch 44 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.630 te_acc=86.97 | time=1217.5
Epoch 45 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.631 te_acc=86.91 | time=1244.5
Epoch 46 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.635 te_acc=86.97 | time=1271.6
Epoch 47 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.648 te_acc=86.90 | time=1298.7
Epoch 48 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.642 te_acc=87.06 | time=1325.9
